Numer_wyprawy,MEMBID,MYEAR,FNAME,LNAME
AMAD79302,2,1979,Geoffrey Vernon (Geoff),Gabites
AMAD79302,3,1979,Peter Edmund,Hillary
AMAD79302,4,1979,Kenneth James (Ken),Hyslop
AMAD79303,1,1979,Horst,Bergmann
AMAD79303,2,1979,Maximilian-Horst,Fankhauser
AMAD79303,3,1979,Reinhold,Messner
AMAD79303,4,1979,Wolfgang,Nairz
AMAD79303,5,1979,Oswald,Oelz
AMAD80301,1,1980,Russell Reginald,Brice
AMAD80301,2,1980,Graham Bruce,Elder
AMAD80301,3,1980,William C. (Paddy),Freaney
AMAD80301,4,1980,Robert Edwin (Rob),Hall
AMAD80301,5,1980,William (Bill),King
AMAD80301,6,1980,Bob,Murie
AMAD80301,7,1980,Peter Joseph,McInally
AMAD80302,1,1980,Yasuji,Kato
AMAD80302,2,1980,Hisao,Fukushima
AMAD80302,3,1980,Tadao,Tsuboi
AMAD80302,4,1980,Masaaki,Tomita
AMAD80302,5,1980,Yoshifumi,Teranishi
AMAD80302,6,1980,Seiji,Ogawa
AMAD81101,1,1981,Alex,Alom Peveda
AMAD81101,2,1981,Josep,Barrachina Perez
AMAD81101,3,1981,Ramon,Bramona Rams
AMAD81101,4,1981,Emilio,Civis Abad
AMAD81101,5,1981,Jean Robert,Clemenson
AMAD81101,6,1981,Jordi,Colomer Gallego
AMAD81101,7,1981,Lluis,Lopez Leiro
AMAD81101,8,1981,Juan,Massons Rabassa
AMAD81101,9,1981,Jordi,Pons Sangines
AMAD81101,10,1981,Lhakpa Dorje,Sherpa
AMAD81101,11,1981,Tenzing Tashi,Sherpa
AMAD81101,12,1981,Dawa Norbu (Ang Danu),Sherpa
AMAD81102,1,1981,Hooman Nmi,Aprin
AMAD81102,2,1981,Leo,Ertsler
AMAD81102,3,1981,Lincoln Ross,Hall
AMAD81102,4,1981,Andrew,Henderson
AMAD81102,5,1981,Damien,Jones
AMAD81102,6,1981,Timothy John,Macartney-Snape
AMAD81102,7,1981,Kenneth (Ken),McMahon
AMAD81102,8,1981,David,Pluth
AMAD81102,9,1981,Karen,Robins
AMAD81301,1,1981,Joe,Burleson
AMAD81301,2,1981,Ron,Crotzer
AMAD81301,3,1981,Ben,Greene
AMAD81301,4,1981,Scott Crump,Johnston
AMAD81301,5,1981,John,Michaud
AMAD81301,6,1981,Ken,Morr
AMAD81301,7,1981,Gary Robert,Neptune
AMAD81301,8,1981,Karen,Simmonds
AMAD81301,9,1981,John,Tuckey
AMAD81302,1,1981,Ryoichi,Awamura
AMAD81302,2,1981,Saburo,Kato
AMAD81302,3,1981,Kujihiko,Kobayashi
AMAD81302,4,1981,Yukio,Muraoka
AMAD81302,5,1981,Yutaka,Watai
AMAD82101,1,1982,Stacy Marie,Allison
AMAD82101,2,1982,Tanya Lee,Erwin
AMAD82101,3,1982,Susan Ann (Sue),Giller
AMAD82101,4,1982,Jineen (Jini),Griffiths
AMAD82101,5,1982,Susan H.,Havens
AMAD82101,6,1982,Sharon (Shari),Kearney
AMAD82101,7,1982,Heidi,Luedi
AMAD82101,8,1982,Anne,Macquaire
AMAD82101,9,1982,Lucylle (Lucy),Smith
AMAD82401,1,1982,Steven Glen,Jorgenson
AMAD82401,2,1982,Mark,Knaebe
AMAD82401,3,1982,Kurt,Krueger
AMAD82401,4,1982,Dan Michael,Murphy
AMAD82401,5,1982,Steven,Risse
AMAD82401,6,1982,Robert,Siegrist
AMAD83101,1,1983,Arthur,Haid
AMAD83101,2,1983,Stephan,Krismer
AMAD83101,3,1983,Theodor,Ljubanovic
AMAD83101,4,1983,Johann (Hans),Penz
AMAD83101,5,1983,Gernot,Pollhammer
AMAD83102,1,1983,Andre,Georges
AMAD83102,2,1983,Alain,Hubert
AMAD83102,3,1983,Nadine,Hubert
AMAD83102,4,1983,Diana,Learmonth
AMAD83102,5,1983,Pierre,Soete
AMAD83301,1,1983,Ruth Sylvia,Becker
AMAD83301,2,1983,Hans,Berger
AMAD83301,3,1983,Guido,Bumann
AMAD83301,4,1983,Heidi,Cadisch
AMAD83301,5,1983,Jean-Pierre,Cuerel
AMAD83301,6,1983,Christoph,Haueter
AMAD83301,7,1983,Christoph Peter,Jezler
AMAD83301,8,1983,Rudolf,Julier
AMAD83301,9,1983,Joerg,Kindschi
AMAD83301,10,1983,Fritz,Maurer
AMAD83301,11,1983,Hans-Peter,Reiss
AMAD83301,12,1983,Liselotte (Lilo),Schmidt
AMAD83301,13,1983,Maya,Senn
AMAD83301,14,1983,Beat,Supersaxo
AMAD83301,15,1983,Jean-Pierre,Wagnieres
AMAD83301,16,1983,Stephan,Welz
AMAD83301,17,1983,Max,Wettstein
AMAD83301,18,1983,Ang Kami,Sherpa
AMAD83302,1,1983,Joel,Coqueugniot
AMAD83302,2,1983,Christian,Fremont
AMAD83302,3,1983,Lucie,Georges
AMAD83302,4,1983,Claude,Laurendeau
AMAD83302,5,1983,Christian,Legay
AMAD83302,6,1983,Dominique,Lepetit
AMAD83302,7,1983,Jean Francois,Manificat
AMAD83302,8,1983,Mario,Paffumi
AMAD83302,9,1983,Raymond,Renaud
AMAD83302,10,1983,Monique,Templier
AMAD83302,11,1983,Jean-Jacques,Triadou
AMAD83302,12,1983,Gerard,Vionnet-Fausset
AMAD83302,13,1983,Christian,Zaugg
AMAD83302,14,1983,Lhakpa Norbu,Sherpa
AMAD83302,15,1983,Pasang Dawa,Sherpa
AMAD83401,1,1983,Young-Soo,Kim
AMAD83401,2,1983,Byung-Gil,Lim
AMAD83401,3,1983,Sun-Woo,Nam
AMAD84101,1,1984,Francois,Aubert
AMAD84101,2,1984,Jean-Marc,Chaussard
AMAD84101,3,1984,Michel,Pelle
AMAD84101,4,1984,Claude,Poncin
AMAD84101,5,1984,Claude,Stucki
AMAD84102,1,1984,Robert T. (Ted),Brittsan
AMAD84102,2,1984,Benjamin,De Haan
AMAD84102,3,1984,James M. (Jim),Eisenhard
AMAD84102,4,1984,Dorothy,Landeen
AMAD84102,5,1984,Carl,Root
AMAD84102,6,1984,Barbara,Rumer
AMAD84102,7,1984,Michael,Trotter
AMAD84103,1,1984,Naoe,Sakashita
AMAD84401,1,1984,Tsutomu,Dobashi
AMAD84401,2,1984,Shinzi,Kawaguchi
AMAD84401,3,1984,Osamu,Okada
AMAD84401,4,1984,Kanji,Saito
AMAD84401,5,1984,Shohei,Uchiyama
AMAD84401,6,1984,Kazuhiko,Yoshida
AMAD84402,1,1984,Adrian (Aid),Burgess
AMAD84402,2,1984,Alan,Burgess
AMAD84402,3,1984,Craig,Ballenger
AMAD84402,4,1984,Lorna,Burgess
AMAD85101,1,1985,Carlo,Alde
AMAD85101,2,1985,Casimiro,Ferrari
AMAD85101,3,1985,Alessandro (Sandro),Liati
AMAD85101,4,1985,Gianni Bruno,Lambardini
AMAD85101,5,1985,Giuliano,Maresi
AMAD85101,6,1985,Mario Luciano,Panzeri
AMAD85101,7,1985,Danilo,Valsecchi
AMAD85102,1,1985,Masayuki,Ariake
AMAD85102,2,1985,Makoto,Ishibashi
AMAD85102,3,1985,Kazuhiro,Onomura
AMAD85102,4,1985,Naoe,Sakashita
AMAD85102,5,1985,Haruo,Toyoda
AMAD85102,6,1985,Kazuo,Yagi
AMAD85301,1,1985,Mauro,Bernardi
AMAD85301,2,1985,Pierre-Marie,Bisson
AMAD85301,3,1985,Bruno,China-Bino
AMAD85301,4,1985,Eric,Colin
AMAD85301,5,1985,Hermann,Comploj
AMAD85301,6,1985,Franco,Copetti
AMAD85301,7,1985,Sabine De Ghaise,De Bourmont
AMAD85301,8,1985,Erik,Decamp
AMAD85303,1,1985,Maximilian-Horst,Fankhauser
AMAD85301,9,1985,Michel Patrik,Gaillard
AMAD85301,10,1985,Jean Pierre,Gay
AMAD85301,11,1985,Franco,Girodo
AMAD85301,12,1985,Peder,Hauch
AMAD85301,13,1985,Stefan,Kehrer
AMAD85301,14,1985,Andre,Leveque
AMAD85301,15,1985,Roger Gough,Marshall
AMAD85301,16,1985,Renato,Moro
AMAD85303,2,1985,Wolfgang,Nairz
AMAD85303,3,1985,Josef,Oberauer
AMAD85301,17,1985,Donatella,Octramonti
AMAD85301,18,1985,Adriano,Rohchetti
AMAD85301,19,1985,Vincenzo,Runngaldier
AMAD85301,20,1985,Giuseppe,Sciaccalula
AMAD85303,4,1985,Walter,Stern
AMAD85303,5,1985,Wolfgang,Strickner
AMAD85301,21,1985,Francesco (Franz),Stufsslesser
AMAD85303,6,1985,Walter,Venier
AMAD85301,22,1985,Benoit,Wittock
AMAD85302,1,1985,Hooman Nmi,Aprin
AMAD85302,2,1985,Peter George (Pete),Athans
AMAD85302,3,1985,Randal R. (Randy),Harrington
AMAD85302,4,1985,John (Andy),Kurtz
AMAD85302,5,1985,Martin,Zabaleta Larburu
AMAD85401,1,1985,Carlos Paltenghe Rockhold,Buhler
AMAD85401,2,1985,Michael,Kennedy
AMAD85402,1,1985,Mervyn (Merv),English
AMAD85402,2,1985,Malcolm,Fry
AMAD85402,3,1985,Geoffrey Vernon (Geoff),Gabites
AMAD85402,4,1985,Nigel,Perry
AMAD85402,5,1985,Robert,Staszewski
AMAD86101,1,1986,Iain,Allan
AMAD86101,2,1986,Skip,Horner
AMAD86101,3,1986,Ian,Howell
AMAD86101,4,1986,Alastair R. L.,Stevenson
AMAD86101,5,1986,Bruce,Kleppinger
AMAD86102,1,1986,Alois,Brugger
AMAD86102,2,1986,Hans Volker,Eitel
AMAD86102,3,1986,Georg,Fernsebner
AMAD86102,4,1986,Gretel,Friedrich
AMAD86102,5,1986,Heinrich,Friedrich
AMAD86102,6,1986,Hubert,Hell
AMAD86102,7,1986,Benjamin,Santer
AMAD86102,8,1986,Hermann,Schiller
AMAD86102,9,1986,Walter,Steiner
AMAD86102,10,1986,Kurt,Walde
AMAD86301,1,1986,Michal,Brunner
AMAD86301,2,1986,Franco,Giorgetta
AMAD86301,3,1986,Rudolf (Ruedi),Homberger
AMAD86301,4,1986,Christian,Jaeggi
AMAD86301,5,1986,Willi,Kuhn
AMAD86301,6,1986,Vreni,Kull
AMAD86301,7,1986,Karel,Jerhot
AMAD86301,8,1986,Miroslav,Mzourek
AMAD86301,9,1986,Josef,Rybicka
AMAD86301,10,1986,Miroslav,Smid
AMAD86301,11,1986,Guenter,Koch
AMAD86302,1,1986,Edin,Alikalfic
AMAD86302,2,1986,Mario,Bago
AMAD86302,3,1986,Darko,Berljak
AMAD86302,4,1986,Jasna,Berljak
AMAD86302,5,1986,Davor,Butkovic
AMAD86302,6,1986,Branko,Puzak
AMAD86302,7,1986,Janez,Benkovic
AMAD86303,1,1986,Stephane,Borgeaud
AMAD86303,2,1986,Pierre,Dutrievoz
AMAD86303,3,1986,Guy,Formaz
AMAD86303,4,1986,Marie,Hiroz
AMAD86303,5,1986,Pierre-Antoine,Hiroz
AMAD86303,6,1986,Yves,Rausis
AMAD86401,1,1986,Bruno,Guibert
AMAD86401,2,1986,Roger,Massardier
AMAD86401,3,1986,Bruno,Rebelle
AMAD86401,4,1986,Corine,Rebelle-Frere
AMAD87101,1,1987,Bruce,Cox
AMAD87101,2,1987,John M.,Iacovino
AMAD87101,3,1987,Herman (Chip),Kamin
AMAD87101,4,1987,David,Karl
AMAD87101,5,1987,Nelson,Max
AMAD87101,6,1987,Ron,Norton
AMAD87102,1,1987,Prodromos,Idosidis
AMAD87102,2,1987,Christos,Lambris
AMAD87102,3,1987,Kostantinos,Manalis
AMAD87102,4,1987,Tenzing,Sherpa
AMAD87102,5,1987,Alekos,Tsilogiorgis
AMAD87102,6,1987,Mike,Tsoukias
AMAD87301,1,1987,Ian,Barton
AMAD87301,2,1987,Mark (Mac),Battersby
AMAD87301,3,1987,Andrew (Andy),Cave
AMAD87301,4,1987,David,Green
AMAD87301,5,1987,Martin,Mandel
AMAD87301,6,1987,Andrew (Andy),Perkins
AMAD87301,7,1987,Jane,Richmond
AMAD87301,8,1987,William,Simmonds
AMAD87301,9,1987,Peter Cranville,Swift
AMAD87301,10,1987,Henry Barclay,Todd
AMAD87302,1,1987,Jeffrey R.,Alzner
AMAD87302,2,1987,Steven Keith (Steve),Davis
AMAD87302,3,1987,Charles (Mick),Holt
AMAD87302,4,1987,Tshering Lhakpa,Sherpa
AMAD87302,5,1987,Frederick Harold (Fred),Ziel
AMAD87303,1,1987,Stephen Mark (Steve),Aisthorpe
AMAD87303,2,1987,Porsteinn,Gudjonsson
AMAD87303,3,1987,Alison Jane,Hargreaves
AMAD87303,4,1987,William H. (Bill),O'Connor
AMAD87303,5,1987,Dawa,Sherpa
AMAD87303,6,1987,Jan M.,Spieczny
AMAD87304,1,1987,Ivan,Bonev
AMAD87304,2,1987,Todor Nikolov,Grigorov
AMAD87304,3,1987,Dobri,Hazarbassanov
AMAD87304,4,1987,Anton Alexandrov,Hidfov
AMAD87304,5,1987,Gancho,Mateev
AMAD87304,6,1987,Todor,Todorov
AMAD87304,7,1987,Valeri Gueorguiev,Peltekov
AMAD87304,8,1987,Nikolay Mihaylov,Petkov
AMAD87304,9,1987,Venelin Hristoforov,Petrov
AMAD87304,10,1987,Nikolay Apostolov,Proev
AMAD87304,11,1987,Andriani,Rantchev
AMAD87304,12,1987,Miroslav Petrov,Sevlievski
AMAD87304,13,1987,Plamen Stanimirov,Shopski
AMAD87304,14,1987,Georgi Ivanov,Topalov
AMAD87304,15,1987,Valentin,Trenev
AMAD87304,16,1987,Vitan,Vlahov
AMAD87304,17,1987,Rumen,Vodenicharov
AMAD87401,1,1987,Todd Douglas,Bibler
AMAD87401,2,1987,Michael,Dimitri
AMAD87401,3,1987,Eric,Reynolds
AMAD87401,4,1987,Alexander (Sandy),Stewart
AMAD87401,5,1987,Clay,Wadman
AMAD87401,6,1987,Ann (Annie),Whitehouse
AMAD88101,1,1988,Christopher,Bradshaw
AMAD88101,2,1988,Geoffrey,Hewitt
AMAD88101,3,1988,Peter T.,Hill
AMAD88101,4,1988,Gareth David,Walker
AMAD88102,1,1988,Thomas Lee (Tom),Dickey
AMAD88102,2,1988,Charlie,Eckenfelder
AMAD88102,3,1988,Stephen Robert (Steve),Langley
AMAD88102,4,1988,Roderick,Macintosh
AMAD88102,5,1988,Geoffrey (Geoff),Powter
AMAD88102,6,1988,Peter,Roxburgh
AMAD88301,1,1988,You-Dong,Cho
AMAD88301,2,1988,Nak-Hee,Jang
AMAD88301,3,1988,In-Hyo,Jung
AMAD88301,4,1988,Koang-Sun,Kim
AMAD88301,5,1988,Hoon-Sang,Lee
AMAD88301,6,1988,Whang,Hyuk
AMAD88302,1,1988,Bo Belvedere,Christensen
AMAD88302,2,1988,Henrik Jessen,Hansen
AMAD88302,3,1988,Michael,Hjorth
AMAD88302,4,1988,Jan,Mathorne
AMAD88302,5,1988,Jan,Nicolaisen
AMAD88302,6,1988,Soren Allan,Smidt
AMAD88303,1,1988,Athos,Balestra
AMAD88303,2,1988,Franco,Dellatorre
AMAD88303,3,1988,Ivano,Regazzoni
AMAD88304,1,1988,Robert,Boesch
AMAD88304,2,1988,Daniel,Oehrli
AMAD88304,3,1988,Jakob (Kobi),Reichen
AMAD88401,1,1988,Sun-Ki,Bong
AMAD88401,2,1988,Dong-Han,Cha
AMAD88401,3,1988,Young-Ju,Kim
AMAD88402,1,1988,Marc Marie Bernard,Batard
AMAD88402,2,1988,Jacques,Buret
AMAD88402,3,1988,Michel,Coutty
AMAD88402,4,1988,Philippe,Delvaux
AMAD88402,5,1988,Daniel,Filliol
AMAD88402,6,1988,Miguel Angel,Garcia Gallego
AMAD88402,7,1988,Allain,Hirsh
AMAD88402,8,1988,Nadine,Hubert-Van Bunnen
AMAD88402,9,1988,Roger,Laot
AMAD88402,10,1988,Claude,Lebahy
AMAD88402,11,1988,Yves,LeBissonnais
AMAD88402,12,1988,Reine,Mouhat
AMAD88402,13,1988,Antonio,Rispoli
AMAD88402,14,1988,Jean Francois,Rouys
AMAD88402,15,1988,Francoise,Walter
AMAD88402,16,1988,Raymond,Walter
AMAD88402,17,1988,Ang Phuri,Sherpa
AMAD88402,18,1988,Phu Dorje,Sherpa
AMAD88402,19,1988,Kami Temba,Sherpa
AMAD88402,20,1988,Zimba Zangbu,Sherpa
AMAD88402,21,1988,Dawa Norbu,Sherpa
AMAD89101,1,1989,Alan,Lees
AMAD89101,2,1989,William H. (Bill),O'Connor
AMAD89101,3,1989,Craig,Selzman
AMAD89101,4,1989,Dwain,Stranahan
AMAD89102,1,1989,Charles,Hanaway
AMAD89102,2,1989,Wendy L.,Ostgaard
AMAD89102,3,1989,Edward (Ed),Ramey
AMAD89102,4,1989,Fred,Sralam
AMAD89102,5,1989,Clyde,Soles
AMAD89102,6,1989,Austin,Weiss
AMAD89103,1,1989,Shane Julian,Chamello
AMAD89103,2,1989,John William,Coulton
AMAD89103,3,1989,Paul,Gray
AMAD89103,4,1989,Michael Graeme,Groom
AMAD89103,5,1989,Christopher Paul (Chris),Hawthorne
AMAD89103,6,1989,Stanley (Stan),Pickering
AMAD89104,1,1989,Kyoko,Horikawa
AMAD89104,2,1989,Harumi,Ichimura
AMAD89104,3,1989,Seisuku,Kurokawa
AMAD89104,4,1989,Teijiro,Namba
AMAD89104,5,1989,Masashi,Tatsuta
AMAD89104,6,1989,Yoshimi,Tatsuta
AMAD89301,1,1989,Vanja Anton,Furlan
AMAD89301,2,1989,Bojan,Pockar
AMAD89301,3,1989,Matjaz,Vrtovec
AMAD89302,1,1989,Karl Wilhelm (Kim),Dehn
AMAD89302,2,1989,Wolfgang,Egger
AMAD89302,3,1989,Klaus,Guertler
AMAD89302,4,1989,Guenther,Haerter
AMAD89302,5,1989,Bertold,Hochstuhl
AMAD89302,6,1989,Franz,Hoeppl
AMAD89302,7,1989,Wolf Dieter,Jarisch
AMAD89302,8,1989,Peter,Konzert
AMAD89302,9,1989,Dieter Albin,Porsche
AMAD89302,10,1989,Lothar,Reiser
AMAD89302,11,1989,Hildegard,Wolfsgruber
AMAD89303,1,1989,Kate,MacRae
AMAD89303,2,1989,Gilbert (Gil),McCormick
AMAD89303,3,1989,James (Jim),Nowak
AMAD89303,4,1989,Gary Charles,Ruggera
AMAD89303,5,1989,John Bernard,Woodland
AMAD89304,1,1989,Christian,Carre
AMAD89304,2,1989,Annie,Favre
AMAD89304,3,1989,Georges,Favre
AMAD89304,4,1989,Jean-Pierre,Frachon
AMAD89304,5,1989,Bernard,Madeuf
AMAD89304,6,1989,Philippe,Massardier
AMAD89304,7,1989,Vincent Pierre,Protopopoff
AMAD89304,8,1989,Louis,Rochery
AMAD89304,9,1989,Danu,Sherpa
AMAD89304,10,1989,Kami Tenzi,Sherpa
AMAD89304,11,1989,Wangel (Ongel),Sherpa
AMAD90101,1,1990,Raymond (Ray),Delaney
AMAD90101,2,1990,Robert,Durran
AMAD90101,3,1990,Richard,Haszko
AMAD90101,4,1990,Peter,Herold
AMAD90101,5,1990,Brendan,Murphy
AMAD90101,6,1990,Kathryn M. (Kate),Phillips
AMAD90101,7,1990,Bruce Joseph (Joe),Simpson
AMAD90301,1,1990,Marco,Bascialla
AMAD90301,2,1990,Giorgio,Bono
AMAD90301,3,1990,Guido,Bossi
AMAD90301,4,1990,Martha,Deflorin
AMAD90301,5,1990,Gerard,Dumoulin
AMAD90301,6,1990,Vincenzo,Ferdinandi
AMAD90301,7,1990,Franco,Girodo
AMAD90301,8,1990,Federico,Olliveri
AMAD90301,9,1990,Corradino (Dino),Rabbi
AMAD90301,10,1990,Alberto,Re
AMAD90301,11,1990,Stefano,Saglia
AMAD90301,12,1990,Sergio,Scavarda
AMAD90302,1,1990,Geoffrey,Allman
AMAD90302,2,1990,Alan,Bristow
AMAD90302,3,1990,Stephen,Green
AMAD90302,4,1990,Nicholas (Nick),Harper
AMAD90302,5,1990,Richard,Lockie
AMAD90302,6,1990,Kevin,Wilson
AMAD90303,1,1990,Marcus,Fritz
AMAD90303,2,1990,Herbert,Mayerhofer
AMAD90303,3,1990,Willy,Wysoudil
AMAD90304,1,1990,Eva Maria,Bolesch
AMAD90304,2,1990,Peter (Pit),Bolesch
AMAD90304,3,1990,Rainer,Bolesch
AMAD90304,4,1990,Joerg,Zengerle
AMAD90305,1,1990,Christian,Hug
AMAD90305,2,1990,Christian-Pierre,Portmann
AMAD90306,1,1990,Marco,Benini
AMAD90306,2,1990,Kurt,Fritz
AMAD90306,3,1990,Josef,Kruselburger
AMAD90306,4,1990,Roland,Losso
AMAD90306,5,1990,Erick,Schoenthaler
AMAD90306,6,1990,Heinrich,Tavernini
AMAD90306,7,1990,Tham Bahadur (Tilija),Magar
AMAD90307,1,1990,David,Auble
AMAD90307,2,1990,Jeremy,Handren
AMAD90307,3,1990,Charles,Townsend
AMAD90307,4,1990,Mark,Wilson
AMAD90307,5,1990,Nicholas,Yardley
AMAD90307,6,1990,David,O'Dowd
AMAD90307,7,1990,Gregory,McCausland
AMAD90401,1,1990,Anders,Bergwall
AMAD90401,2,1990,Thorbjorn,Enevold
AMAD90401,3,1990,Per,Malmsten
AMAD90401,4,1990,Magnar,Osnes
AMAD90401,5,1990,Michael,Sundberg
AMAD90401,6,1990,Jan,Westby
AMAD90402,1,1990,Conrad Daniel,Anker
AMAD90402,2,1990,Lance,Bateman
AMAD90402,3,1990,Christopher D.,Noble
AMAD90402,4,1990,Marjorie,Noble
AMAD90402,5,1990,John,Reed
AMAD90404,1,1990,Bryan,Blair
AMAD90404,2,1990,Glenn Eugene,Dunmire
AMAD90404,3,1990,Christopher Bernard (Chris),Warner
AMAD90405,1,1990,Marco,Dalla Longa
AMAD90405,2,1990,Livio,Ferraris
AMAD90405,3,1990,Battista,Galbiati
AMAD90405,4,1990,Giovanni,Ghisleni
AMAD90405,5,1990,Fabrizio,Rodolfi
AMAD91101,1,1991,James,Cape
AMAD91101,2,1991,Thomas,Kirchner
AMAD91101,3,1991,Dennis,Mosolf
AMAD91101,4,1991,Teresa,Soucie
AMAD91101,5,1991,Paul,Thorndike
AMAD91101,6,1991,Gordon,Warmouth
AMAD91101,7,1991,Edward P.,Willis
AMAD91101,8,1991,Raul Edgar,Barcena Canas
AMAD91101,9,1991,Alfredo,Basilo Ojeda
AMAD91101,10,1991,Hector Mario,Ponce de Leon Gomez
AMAD91102,1,1991,Ciaran,Corrigan
AMAD91102,2,1991,Anthony (Tony),Farrell
AMAD91102,3,1991,Patrick (Pat),Falvey
AMAD91102,4,1991,Timothy,Hickey
AMAD91102,5,1991,Cornelius (Con Jude),Moriarty
AMAD91102,6,1991,Michael (Mick),Murphy
AMAD91102,7,1991,Michael (Mike),Shea
AMAD91103,1,1991,Mark,Butler
AMAD91103,2,1991,Brent,Finley
AMAD91103,3,1991,Susan,Harrington
AMAD91103,4,1991,Michael,Murray
AMAD91103,5,1991,Benjamin,Schifrin
AMAD91103,6,1991,Colin,Smith
AMAD91103,7,1991,Evan,Smith
AMAD91103,8,1991,Mallory,Smith
AMAD91103,9,1991,Richard,Stark
AMAD91104,1,1991,Thomas,Bol
AMAD91104,2,1991,Jono,McKinney
AMAD91104,3,1991,Jefferson (Jeff),Petty
AMAD91104,4,1991,Rick,Rochelle
AMAD91105,1,1991,David Finlay,Breashears
AMAD91105,2,1991,Laurence,Gouault
AMAD91105,3,1991,Marie,Hiroz
AMAD91105,4,1991,Stephen Langley,Shea
AMAD91106,1,1991,Angelo,Giovanetti
AMAD91106,2,1991,Oscar,Piazza
AMAD91106,3,1991,Claudio,Toldo
AMAD91301,1,1991,Mathias Franz,Baumann
AMAD91301,2,1991,Adrian,Ball
AMAD91301,3,1991,Urs,Braschler
AMAD91301,4,1991,Hans-Joerg,Bumann
AMAD91301,5,1991,Martin,Fischer
AMAD91301,6,1991,Norbert,Joos
AMAD91301,7,1991,Roger,Lochmatter
AMAD91301,8,1991,Peter,Marugg
AMAD91301,9,1991,Wolfgang,Vollbrecht
AMAD91301,10,1991,Diego,Wellig
AMAD91302,1,1991,Raymond,Bousquet
AMAD91302,2,1991,Rene,Chotel
AMAD91302,3,1991,Renaud,Gardelle
AMAD91302,4,1991,Jean-Francois,Grand
AMAD91302,5,1991,Didier,Mangel
AMAD91302,6,1991,Michel,Pelle
AMAD91302,7,1991,Claude,Stucki
AMAD91303,1,1991,Robert,Collard
AMAD91303,2,1991,Jerome,Cosson
AMAD91303,3,1991,Dominique,Gombert
AMAD91303,4,1991,Roger,Lecompte
AMAD91303,5,1991,Claude,Menneguerre
AMAD91303,6,1991,Veronique,Parein
AMAD91303,7,1991,Michel,Richard
AMAD91303,8,1991,Pierre Alain,Rickli
AMAD91303,9,1991,Philippe,Scheidecker
AMAD91303,10,1991,Annick,Villechalane
AMAD91304,1,1991,Claudio,Bellassio
AMAD91304,2,1991,Gilles,Buisson
AMAD91304,3,1991,Jean Francois,Males
AMAD91401,1,1991,Warwick,Baird
AMAD91401,2,1991,Frank,Moon
AMAD91402,1,1991,Ki-Ho,Choi
AMAD91402,2,1991,Kwang-Seon,Kim
AMAD91402,3,1991,Kyu-Sun,Lee
AMAD91402,4,1991,Kyung-Lee,Park
AMAD91402,5,1991,Byoung-Cheul,Yoo
AMAD92101,1,1992,David (Dave),Nettle
AMAD92101,2,1992,James (Jim),Quirk
AMAD92102,1,1992,Carlos,Goni Mendibil
AMAD92102,2,1992,Jose Joaquin,Goni Azanza
AMAD92102,3,1992,Jose Miguel,Goni Ciaurriz
